"","X","series","treespec","categ","elev","corS90","corS20","size","age","cordif","site_code","qup","species"
"2",3,"U006002PCAB","PCAB","moderate",822,-0.24778177296744,0.139176704879814,85179.0064285714,45,0.386958477847254,"U006002PCAB",FALSE,"PCAB"
"3",4,"M000055QUPE","QUPE","moderate",305,0.398393486144472,0.256819679334332,182381.669211073,156.058823529412,-0.14157380681014,"M000055QUPE",TRUE,"QUSP"
"4",5,"C004007FASY","FASY","moderate",472,0.167122002065641,0.161094809812509,91452.4530075,69.55,-0.006027192253132,"C004007FASY",FALSE,"FASY"
"5",7,"C004265PCAB","PCAB","acid",1284,-0.273924269906254,-0.260452901841625,110547.788307692,102,0.013471368064629,"C004265PCAB",FALSE,"PCAB"
"6",9,"V002342PCAB","PCAB","acid",260,0.245359697450958,0.423236334795406,99917.672138125,118.925,0.177876637344448,"V002342PCAB",FALSE,"PCAB"
"7",11,"M000048PCAB","PCAB","moderate",604,0.120836056790073,0.512486238593219,108585.140658163,69.9285714285714,0.391650181803146,"M000048PCAB",FALSE,"PCAB"
"8",13,"P000151PISY","PISY","NO_DATA",425,0.502704756780976,0.399652812418488,32288.1843481213,123.297872340426,-0.103051944362488,"P000151PISY",FALSE,"PISY"
"9",14,"C004072PCAB","PCAB","acid",933,-0.0795611819437464,-0.0449887581454303,85878.0959718935,93.9615384615385,0.0345724237983161,"C004072PCAB",FALSE,"PCAB"
"10",15,"C004011QURO","QURO","moderate",207,0.0801959633587903,-0.0206454534286772,45038.716288,100.28,-0.100841416787467,"C004011QURO",TRUE,"QUSP"
"11",16,"T005019PCAB","PCAB","moist",882,-0.0711106531355202,0.21466876372842,52857.5531834319,106.769230769231,0.28577941686394,"T005019PCAB",FALSE,"PCAB"
"12",17,"M000045PCAB","PCAB","acid",940,-0.166409195464001,-0.0893036576447133,100272.101283737,96.2941176470588,0.0771055378192877,"M000045PCAB",FALSE,"PCAB"
"13",18,"P800040ABAL","ABAL","moderate",974,-0.241331983299801,-0.0822049358613984,284568.134625,146.75,0.159127047438403,"P800040ABAL",FALSE,"ABAL"
"15",20,"V002222PCAB","PCAB","extreme",710,0.0382919610240118,0.158967205534167,29618.07027,43.8,0.120675244510155,"V002222PCAB",FALSE,"PCAB"
"16",21,"V002349PCAB","PCAB","moderate",295,0.0279826880222278,0.278515585258607,340143.95715,111.75,0.250532897236379,"V002349PCAB",FALSE,"PCAB"
"17",22,"M000092FASY","FASY","moderate",625,0.440983039185716,0.548145525047782,164662.614125,80.75,0.107162485862066,"M000092FASY",FALSE,"FASY"
"18",23,"P810154PCAB","PCAB","acid",1227,-0.3769972620341,-0.0750344369794108,171688.37240625,133.6875,0.301962825054689,"P810154PCAB",FALSE,"PCAB"
"19",24,"P810170PCAB","PCAB","moderate",1023,0.075422799895845,-0.226115995365809,179476.3149375,154.25,-0.301538795261654,"P810170PCAB",FALSE,"PCAB"
"20",25,"C004242PCAB","PCAB","moist",1307,-0.378965436593187,-0.385084904503491,182066.120360544,214.571428571429,-0.00611946791030399,"C004242PCAB",FALSE,"PCAB"
"22",27,"P810123PCAB","PCAB","moderate",1020.25,-0.323928740799618,-0.106234573209365,272804.102031239,200.203821656051,0.217694167590253,"P810123PCAB",FALSE,"PCAB"
"23",28,"M000118FASY","FASY","moderate",900,-0.450621614027794,0.039465296813028,102630.058823529,83.8823529411765,0.490086910840822,"M000118FASY",FALSE,"FASY"
"24",29,"P800007ABAL","ABAL","acid",1107.05,-0.135797887947408,-0.251739878730927,176451.5775,165,-0.115941990783519,"P800007ABAL",FALSE,"ABAL"
